step,energy,drift,cfl_ratio,cfl_limit,max_abs,edge_ratio,grad_ratio,has_bad,checksum
10,1.4816331126e+00,1.181139e-03,0.040000,0.707107,9.993133e-01,0.222678,1.000000,0,3201194859
20,1.4844399883e+00,3.077824e-03,0.040000,0.707107,9.973798e-01,0.226165,1.000000,0,12652731
30,1.4839115970e+00,2.720775e-03,0.040000,0.707107,9.942044e-01,0.232069,1.000000,0,1541279439
40,1.4817937119e+00,1.289660e-03,0.040000,0.707107,9.897948e-01,0.240338,1.000000,0,731800843
50,1.4819123551e+00,1.369831e-03,0.040000,0.707107,9.841621e-01,0.250716,1.000000,0,1471342243
60,1.4832798550e+00,2.293889e-03,0.040000,0.707107,9.773204e-01,0.262836,1.000000,0,3249131889
70,1.4828311732e+00,1.990702e-03,0.040000,0.707107,9.692864e-01,0.276263,1.000000,0,3211630379
80,1.4814256085e+00,1.040922e-03,0.040000,0.707107,9.600801e-01,0.290534,1.000000,0,3188040041
90,1.4816708143e+00,1.206615e-03,0.040000,0.707107,9.497243e-01,0.305277,1.000000,0,2169046117
100,1.4827294476e+00,1.921963e-03,0.040000,0.707107,9.382442e-01,0.320331,1.000000,0,2292726255
