step,x_centroid
0,2.111958341135436
25,2.061485902136662
50,2.1085446793445173
75,2.240355316138173
100,2.4435958044992456
125,2.695959491960372
150,2.9696868749914502
175,3.243919793758517
200,3.5109394589809093
225,3.7704677810248857
250,4.021760108311609
275,4.261914260313552
300,4.489247445176811
325,4.706269699627256
350,4.918990496517244
375,5.133463599553799
400,5.352492522279693
425,5.574717676796128
450,5.7964249718001035
475,6.014582130952192
500,6.228797815429269
525,6.440880492401015
550,6.652767918747011
575,6.864876580737867
600,7.076295776322113
625,7.286454415317678
650,7.49656128354151
675,7.709410111971257
700,7.927703580189373
725,8.152368063129575
750,8.382265938888441
775,8.615459207651549
800,8.850857430355447
825,9.088813100572192
850,9.330238823761807
875,9.575173958855279
900,9.822182994678085
925,10.069162451933801
950,10.314828955032295
975,10.55953449267885
1000,10.804682655913098
1025,11.051310003469013
1050,11.299134148811897
1075,11.546903680295614
1100,11.793678855440119
1125,12.039824088316312
1150,12.286774287006907
1175,12.535782344965808
1200,12.786786905439753
1225,13.038407599838543
1250,13.289032521054798
1275,13.537974130321091
1300,13.785642308788352
1325,14.03263496497301
1350,14.278663529228238
1375,14.522360107931469
1400,14.762175172742513
1425,14.997573479915708
1450,15.229481881003423
1475,15.45963405981144
1500,15.689428014981466
1525,15.919292587458274
1550,16.149067302659372
1575,16.379003301936677
1600,16.610450245297336
1625,16.84554846310124
1650,17.08609021167934
1675,17.332456313727825
1700,17.583548335620275
1725,17.83784710421076
1750,18.094710056711794
1775,18.354655629193665
1800,18.618157548464602
1825,18.883854463089232
1850,19.14777788899286
1875,19.404359518607812
1900,19.648242498403015
1925,19.875087582198887
1950,20.08071891445472
1975,20.259957558047784
2000,20.407047481442383
2025,20.51794029228374
2050,20.592625106476977
2075,20.63543184853841
2100,20.653024513342007
2125,20.651705506351348
2150,20.63590131228423
2175,20.608410810397487
2200,20.571573274035526
2225,20.528091694891614
2250,20.480915870191268
2275,20.43258754911139
2300,20.38489128364937
2325,20.33923632263085
2350,20.29739006425426
2375,20.26178074499439
