step,x_peak,max_amplitude
0,1,0.017657265067100525
25,1,0.017686326056718826
50,1,0.01647983118891716
75,2,0.017082540318369865
100,2,0.017221815884113312
125,2,0.016767438501119614
150,3,0.015956111252307892
175,3,0.016690684482455254
200,3,0.017028318718075752
225,3,0.016891200095415115
250,4,0.017727360129356384
275,4,0.0186373982578516
300,4,0.019121404737234116
325,4,0.01911546289920807
350,5,0.01964937150478363
375,5,0.020375365391373634
400,5,0.020674224942922592
425,5,0.020499812439084053
450,6,0.020079564303159714
475,6,0.020667310804128647
500,6,0.02086128480732441
525,6,0.020621009171009064
550,6,0.019920820370316505
575,7,0.020488658919930458
600,7,0.02068752609193325
625,7,0.020473148673772812
650,7,0.01982138678431511
675,8,0.020309362560510635
700,8,0.020528456196188927
725,8,0.020346974954009056
750,8,0.01974285952746868
775,9,0.020146358758211136
800,9,0.0203847773373127
825,9,0.02023390866816044
850,9,0.019672751426696777
875,10,0.01999034732580185
900,10,0.020248237997293472
925,10,0.0201264675706625
950,10,0.019605128094553947
975,11,0.01983867585659027
1000,11,0.020116301253437996
1025,11,0.02002294734120369
1050,11,0.01953933760523796
1075,12,0.019692271947860718
1100,12,0.01999053917825222
1125,12,0.01992626301944256
1150,12,0.019480500370264053
1175,13,0.019571436569094658
1200,13,0.019895564764738083
1225,13,0.0198659710586071
1250,13,0.01946372725069523
1275,14,0.01954386569559574
1300,14,0.019904213026165962
1325,14,0.019918300211429596
1350,14,0.01956677809357643
1375,15,0.019633812829852104
1400,15,0.020010335370898247
1425,15,0.02003893442451954
1450,15,0.01969853788614273
1475,16,0.01939062960445881
1500,16,0.019675612449645996
1525,16,0.019601790234446526
1550,16,0.01914801076054573
1575,16,0.018305685371160507
1600,17,0.017924197018146515
1625,17,0.01766534335911274
1650,17,0.017037848010659218
1675,18,0.01626800186932087
1700,18,0.01618371717631817
1725,18,0.015757592394948006
1750,18,0.01497700810432434
1775,19,0.014727084897458553
1800,19,0.01450603548437357
1825,19,0.013960432261228561
1850,20,0.013554860837757587
1875,20,0.013578972779214382
1900,20,0.01331592258065939
1925,21,0.01314570102840662
1950,21,0.013443808071315289
1975,21,0.01348326075822115
2000,21,0.013240446336567402
2025,22,0.013024617917835712
2050,22,0.013332693837583065
2075,22,0.01338708121329546
2100,22,0.01316396240144968
2125,23,0.01290452666580677
2150,23,0.013222020119428635
2175,23,0.013290708884596825
2200,23,0.0130867138504982
2225,24,0.012785439379513264
2250,24,0.013111858628690243
2275,24,0.013194362632930279
2300,24,0.013008811511099339
2325,25,0.012667057104408741
2350,25,0.013001974672079086
2375,25,0.013097654096782207
