step,time,chi_pert_max,chi_pert_rms,E_energy
0,0.000000,4.419227e-07,4.941945e-08,7.975912e-01
60,0.600000,8.195159e-04,9.218173e-05,7.735543e-01
120,1.200000,3.040358e-03,3.486488e-04,7.112562e-01
180,1.800000,6.256691e-03,7.406843e-04,6.288982e-01
240,2.400000,9.954274e-03,1.231299e-03,5.467114e-01
300,3.000000,1.366454e-02,1.785366e-03,4.790973e-01
360,3.600000,1.706960e-02,2.376320e-03,4.314802e-01
420,4.200000,2.003017e-02,2.987965e-03,4.020008e-01
480,4.800000,2.254953e-02,3.612604e-03,3.854079e-01
540,5.400000,2.471004e-02,4.247812e-03,3.763885e-01
600,6.000000,2.661593e-02,4.893644e-03,3.711513e-01
660,6.600000,2.835881e-02,5.550919e-03,3.675581e-01
720,7.200000,3.000524e-02,6.220444e-03,3.646188e-01
780,7.800000,3.159784e-02,6.902769e-03,3.619534e-01
840,8.400000,3.316148e-02,7.598196e-03,3.594454e-01
900,9.000000,3.470967e-02,8.306836e-03,3.570718e-01
960,9.600000,3.624936e-02,9.028673e-03,3.548375e-01
1020,10.200000,3.778398e-02,9.763616e-03,3.527538e-01
1080,10.800000,3.931522e-02,1.051153e-02,3.508322e-01
1140,11.400000,4.084402e-02,1.127225e-02,3.490833e-01
1199,11.990000,4.234552e-02,1.203261e-02,3.475404e-01
